slot_id,doctor_id,clinic_id,specialty_id,slot_start,slot_end,slot_date,slot_hour,weekday_name,is_available
1,2,2,1,2025-01-01 08:00:00,2025-01-01 08:45:00,2025-01-01,8,Wednesday,1
2,2,2,1,2025-01-01 10:00:00,2025-01-01 10:45:00,2025-01-01,10,Wednesday,1
3,2,2,1,2025-01-01 15:00:00,2025-01-01 15:45:00,2025-01-01,15,Wednesday,1
4,3,3,1,2025-01-01 08:00:00,2025-01-01 08:45:00,2025-01-01,8,Wednesday,1
5,3,3,1,2025-01-01 09:00:00,2025-01-01 09:45:00,2025-01-01,9,Wednesday,1
6,3,3,1,2025-01-01 10:00:00,2025-01-01 10:45:00,2025-01-01,10,Wednesday,0
7,3,3,1,2025-01-01 15:00:00,2025-01-01 15:45:00,2025-01-01,15,Wednesday,1
8,5,1,2,2025-01-01 08:00:00,2025-01-01 08:45:00,2025-01-01,8,Wednesday,1
9,5,1,2,2025-01-01 09:00:00,2025-01-01 09:45:00,2025-01-01,9,Wednesday,1
10,5,1,2,2025-01-01 14:00:00,2025-01-01 14:45:00,2025-01-01,14,Wednesday,1
11,5,1,2,2025-01-01 15:00:00,2025-01-01 15:45:00,2025-01-01,15,Wednesday,1
12,7,3,2,2025-01-01 08:00:00,2025-01-01 08:45:00,2025-01-01,8,Wednesday,1
13,7,3,2,2025-01-01 09:00:00,2025-01-01 09:45:00,2025-01-01,9,Wednesday,1
14,7,3,2,2025-01-01 13:00:00,2025-01-01 13:45:00,2025-01-01,13,Wednesday,1
15,7,3,2,2025-01-01 16:00:00,2025-01-01 16:45:00,2025-01-01,16,Wednesday,1
16,10,1,3,2025-01-01 08:00:00,2025-01-01 08:30:00,2025-01-01,8,Wednesday,1
17,10,1,3,2025-01-01 11:00:00,2025-01-01 11:30:00,2025-01-01,11,Wednesday,1
18,10,1,3,2025-01-01 13:00:00,2025-01-01 13:30:00,2025-01-01,13,Wednesday,1
19,12,2,3,2025-01-01 08:00:00,2025-01-01 08:30:00,2025-01-01,8,Wednesday,1
20,12,2,3,2025-01-01 10:00:00,2025-01-01 10:30:00,2025-01-01,10,Wednesday,1
21,12,2,3,2025-01-01 11:00:00,2025-01-01 11:30:00,2025-01-01,11,Wednesday,1
